CustomerID,CustomerName,Email,City
1,Stephanie Velez,greenchristine@gmail.com,Wagnerton
2,James Allen,wilsonalexander@gray.biz,North Mitchell
3,Nicole Patterson,rodriguezjessica@hotmail.com,Haroldshire
4,Gregory Wong,dillon26@caldwell.biz,Josephbury
5,Sara Gomez,hugheslisa@gmail.com,New Scott
6,John Davis,garciadennis@cain.com,Batesfort
7,Thomas Cook,braymelanie@porter.com,Port Stephen
8,Anna Sanchez,seansalinas@morgan-brock.com,North Joanneshire
9,Elizabeth Brewer,wattsderrick@yahoo.com,Lake Caitlintown
10,Danielle Watson,allenbrittney@hotmail.com,Lake Kristinatown
11,Levi Adams Jr.,ericbenitez@hotmail.com,South Dylanville
12,Donna Mercer,brendalang@glenn-daniel.com,North Kimberly
13,Sandra Adams,xhorne@hotmail.com,Davidmouth
14,Lisa Davis,omayer@yahoo.com,Rossfurt
15,Tyler Briggs,aboyd@orozco.com,Mistyville
16,James George,hensleylisa@russell-coleman.com,West Laurenberg
17,Ashlee Luna,hugheswilliam@hotmail.com,Lake Julieberg
18,Jessica Bennett,richard19@hotmail.com,Evansland
19,Bryce Baker,taylorronald@ponce.com,Martinezfurt
20,James Berg,amccoy@gutierrez-bailey.biz,Lake Joseburgh
21,Theresa Barber,michaelphillips@yahoo.com,Vincentshire
22,Kathleen Medina,isimpson@hill-lewis.org,Kimberlyhaven
23,Jacob Shannon,donald06@roberts.net,West Charles
24,Kenneth Peterson,davidhansen@howe.biz,Dianastad
25,Stephanie Sanders,smithlisa@yahoo.com,North Angelica
26,Patrick Robinson,brittneyevans@brown.org,Deborahtown
27,Jessica Cook,dominique32@dean.info,Hillville
28,Jessica Solis,xavierjordan@gmail.com,Moorefurt
29,Theodore Rodriguez,tcantu@mathews-mitchell.biz,New Kimberlyfurt
30,Kara Lin,barberalisha@gmail.com,North Sherry
31,Ashley Reed,rogersphilip@berger.info,South Erica
32,Terry Mcintosh,zhays@yang.org,Port Tammyton
33,Sabrina Pratt,stacy88@yahoo.com,Hamiltonport
34,Jennifer Williams,david75@yahoo.com,New Tammyside
35,Steven Stephens,jasminemarks@fisher.com,Foxhaven
36,Kelly Smith,aallison@skinner.net,Torresland
37,Sharon Valentine,grantkyle@le-porter.org,Garciachester
38,Dustin Thomas DVM,pgonzalez@ortiz-cox.com,Greenport
39,Jillian Barrera,milesdavid@gonzalez.info,Ramirezbury
40,Amy Davis,rmartin@brown.info,Port Sherry
41,Charles Mcpherson,huertadonna@johnson.info,Michelletown
42,Jill Colon,timothywood@hotmail.com,Port Markland
43,Dawn Dillon,cmayo@yahoo.com,Lake Brittany
44,Rose Hurst,mary34@walls.com,Pattonshire
45,Jonathan Espinoza,martinmendoza@yahoo.com,Lake Ericahaven
46,Luis Garcia,qanderson@sullivan.com,Robinsonview
47,Charles Greene,icabrera@wade.com,Michaelport
48,Laura Walker,xtaylor@moore.com,Michaelhaven
49,Kayla Smith,powerssavannah@wright.com,Karenland
50,Jasmine Jennings,idavidson@russo.com,Lake Colleen
51,Scott Stark,ekerr@yahoo.com,Patrickhaven
52,Henry Grimes,zvega@wong-james.com,South Kenneth
53,Samantha Clark,ymoran@gmail.com,Virginiafurt
54,Amanda Moore,cody52@murphy-williams.com,East Wesley
55,Gregory Lopez,marshsusan@townsend-francis.net,South Robert
56,Valerie Compton,robinsonjohn@bell-young.net,Katherineshire
57,Jordan Steele,desireescott@rush-moore.com,Joshuafurt
58,Casey Cooper,xknight@yahoo.com,Jimenezfurt
59,Allison Baker,rubenchandler@gmail.com,Rasmussenburgh
60,Sandra Flores,harrisandrea@simon-sanders.com,East David
61,Patrick Murphy,joshuaperez@yahoo.com,North Joseph
62,Mr. Thomas Navarro,maryolson@yahoo.com,Buchananton
63,Mary Barrett,williamstrickland@hotmail.com,New Angelicafort
64,Sarah Dalton,tmiller@hotmail.com,East John
65,Dustin Hawkins PhD,matthewprice@johnson.info,Port Luis
66,Daniel Barron,wagnerhannah@hendrix.com,Jonathanmouth
67,Marc Greene,robertblair@hotmail.com,West Todd
68,Sergio Garcia,joshuagarcia@gmail.com,Jeremiahfurt
69,Jared Fields,lopezkathryn@yahoo.com,Dianechester
70,Stacey Moore,coopereric@gmail.com,North Paulland
71,Kyle Palmer,ann91@brewer-yang.com,Sotobury
72,Ralph Schultz,rebecca31@rodriguez.com,North Bobbyfort
73,Vicki Owens,hmanning@lane.org,North Ellenburgh
74,Brian Flynn,patricia65@montgomery.biz,Lopezfurt
75,Jimmy Perkins,rjackson@gmail.com,Patrickbury
76,Matthew Lawrence,leeshaun@brown.com,West Kathrynton
77,Michelle Oneill,heather94@adams.com,East Nancy
78,James Rasmussen,kcruz@brown.com,Hudsonside
79,Derek Sanchez,murphytodd@jones.com,Christinamouth
80,Tracy Galvan,fschneider@gmail.com,Lake Kimberly
81,Jason Parker,smithmarcus@wood.com,New Patricia
82,Miguel Boyd,kimberly94@rodgers-jones.com,Priceside
